rate,f0,vowel,cents,engine,estimated_hz,confidence,cents_error
44100,90,ah,-1200,legacy,0.0,0.7487576314521822,
44100,90,ah,-1200,synchronous,45.00002334185899,1.0,0.0008980046795835013
44100,90,ah,-1200,spectral,45.000028721600266,0.999981722228008,0.0011049732546568856
44100,90,ah,-700,legacy,60.16747556933955,0.817569737258171,2.8705909909103595
44100,90,ah,-700,synchronous,60.067852900549326,0.99980620058464,0.0017137992998429955
44100,90,ah,-700,spectral,60.06786431475689,0.9998252432404666,0.002042771652628519
44100,90,ah,-100,legacy,84.95929167335365,0.9978022110845102,0.21608397303924962
44100,90,ah,-100,synchronous,84.94886189585512,0.9998734568097839,0.0035410717949380197
44100,90,ah,-100,spectral,84.94886528265452,0.9998751221681227,0.0036100938184612037
44100,90,ah,25,legacy,91.30230579324953,0.999585444677621,-0.12844749277386508
44100,90,ah,25,synchronous,91.30926786566825,0.9999958052772684,0.003559220576066583
44100,90,ah,25,spectral,91.3092673875406,0.9999958917408461,0.0035501552218611724
44100,90,ah,100,legacy,95.33970507123492,0.9962012385499361,-0.21740672215893098
44100,90,ah,100,synchronous,95.35173654885118,0.998322368396196,0.001054091399727545
44100,90,ah,100,spectral,95.35173616023776,0.9983494365112145,0.0010470356209779453
44100,90,ah,700,legacy,134.74043957157076,0.9144359599158479,-1.3767946258257622
44100,90,ah,700,synchronous,134.8482854703109,0.9999909725035165,0.008326371958807591
44100,90,ah,700,spectral,134.84828410341186,0.9999875143009902,0.008308823184145194
44100,90,ah,1200,legacy,47.36569597565411,0.9921103094605324,-2311.298901993501
44100,90,ah,1200,synchronous,180.00149437833412,0.9999999999999314,0.014372821750051156
44100,90,ah,1200,spectral,180.00149141571137,0.9999972757903258,0.01434432757874281
44100,90,ee,-1200,legacy,0.0,0.7174689997854244,
44100,90,ee,-1200,synchronous,45.000023389105095,1.0,0.0008998223242368741
44100,90,ee,-1200,spectral,45.000011937134154,0.9999494624866277,0.0004592437855494401
44100,90,ee,-700,legacy,60.41799010180614,0.7990942922465588,10.063827919104746
44100,90,ee,-700,synchronous,60.06787988917112,0.9999717266243234,0.0024916464883169365
44100,90,ee,-700,spectral,60.06786463575762,0.9999719558029446,0.0020520233116967054
44100,90,ee,-100,legacy,84.97982461201161,0.9975884291273491,0.6344375985267252
44100,90,ee,-100,synchronous,84.94892113830466,0.9999827825426193,0.004748415928107739
44100,90,ee,-100,spectral,84.9489134656753,0.999983277174003,0.004592049989899252
44100,90,ee,25,legacy,91.29090433229413,0.9994931885509052,-0.3446504657888564
44100,90,ee,25,synchronous,91.30926029303627,0.9999994201732726,0.003415642611290817
44100,90,ee,25,spectral,91.30924964496803,0.9999993809173393,0.003213754004247843
44100,90,ee,100,legacy,95.31794202038913,0.9972588537170758,-0.6126380215499674
44100,90,ee,100,synchronous,95.35173748078036,0.9997655984486727,0.0010710117787066948
44100,90,ee,100,spectral,95.3517362666524,0.9997685699331252,0.0010489677161462634
44100,90,ee,700,legacy,134.58118789183163,0.903946313476277,-3.424175410388844
44100,90,ee,700,synchronous,134.84831320570007,0.9999988294610728,0.008682449494200299
44100,90,ee,700,spectral,134.8482568108444,0.9999962434427178,0.007958430688067628
44100,90,ee,1200,legacy,47.36191679670879,0.991108716398686,-2311.437037919862
44100,90,ee,1200,synchronous,180.00149349670508,1.0,0.014364342341373975
44100,90,ee,1200,spectral,180.00138513443818,0.9999947170156405,0.013322125974830715
44100,90,oo,-1200,legacy,37.20934792810605,0.7699506073048696,-329.1118717649662
44100,90,oo,-1200,synchronous,45.00002325189341,0.9999999999999949,0.0008945435372872609
44100,90,oo,-1200,spectral,45.00001530863968,0.9999703088098801,0.0005889518613580259
44100,90,oo,-700,legacy,60.50896288360778,0.8339281274805407,12.668626985260097
44100,90,oo,-700,synchronous,60.06783807638997,0.9999703961735611,0.0012865475945550904
44100,90,oo,-700,spectral,60.06784824267412,0.9999649967779263,0.001579553241984474
