dynamic_pitch_p95_cents,engine,event,fold_image_db,input_max_step,max_step,peak,plosive_peak_offset_ms,rate,rms_gain_db,unvoiced_rmse
2.887797248514515,legacy,zero_crossing,,0.007049560546875,0.00730133056640625,0.12362837791442871,,44100,-1.593128969476994,
5.780419557331148,synchronous,zero_crossing,,0.007049560546875,0.007424831390380859,0.1273047924041748,,44100,-0.022974208342327454,
11.58020404046324,spectral,zero_crossing,,0.007049560546875,0.007161736488342285,0.12647759914398193,,44100,-0.5485272900427185,
2.8829882583651525,legacy,vibrato,,0.007232666015625,0.0071991682052612305,0.12371480464935303,,44100,-0.05690720217613906,
0.0,synchronous,vibrato,,0.007232666015625,0.0071032047271728516,0.12533485889434814,,44100,-0.006274462060808115,
5.780419557331148,spectral,vibrato,,0.007232666015625,0.007232666015625,0.12371826171875,,44100,-0.6374749174692298,
84.4671934696776,legacy,slide,,0.008331298828125,0.0070705413818359375,0.12369906902313232,,44100,-1.3537188519760959,
2.8877972485143224,synchronous,slide,,0.008331298828125,0.008661627769470215,0.13447558879852295,,44100,-1.1919807141752419,
8.677883077291229,spectral,slide,,0.008331298828125,0.0083693265914917,0.1619858741760254,,44100,-0.7294233374684272,
170.2424595736041,legacy,hard_jump,,0.007049560546875,0.010561585426330566,0.12368035316467285,,44100,-2.095139579887747,
0.0,synchronous,hard_jump,,0.007049560546875,0.008255362510681152,0.151436448097229,,44100,-1.0178420685388505,
0.0,spectral,hard_jump,,0.007049560546875,0.008812546730041504,0.17682909965515137,,44100,0.29117777267420436,
57.6477099535062,legacy,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,44100,-2.3313414572240596,0.0
0.0,synchronous,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,44100,0.11086114840710974,0.0
0.0,spectral,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,44100,-0.7332656607540077,0.0
47.38788607094141,legacy,fast_slide,,0.008331298828125,0.007081270217895508,0.12370884418487549,,44100,-1.2491126620229411,
2.8877972485143224,synchronous,fast_slide,,0.008331298828125,0.008671998977661133,0.13449060916900635,,44100,-1.1181938284881434,
14.633003004362557,spectral,fast_slide,,0.008331298828125,0.0075626373291015625,0.17258644104003906,,44100,-0.5690920196557478,
2.887797248514515,legacy,breathy,,0.08282470703125,0.06488204002380371,0.15727531909942627,,44100,-1.6159787257381835,
17.399483634138107,synchronous,breathy,,0.08282470703125,0.06668233871459961,0.16423523426055908,,44100,-0.09528776920268074,
11.58020404046324,spectral,breathy,,0.08282470703125,0.06854248046875,0.15887451171875,,44100,-0.6931145960448203,
32.03383999850437,legacy,attacks,,0.007049560546875,0.007468819618225098,0.12367916107177734,,44100,-2.132187461892942,0.0005284416254839387
1.4414941291825762,synchronous,attacks,,0.007049560546875,0.007907629013061523,0.12594318389892578,,44100,0.12158064677728653,0.003498973550718772
1.4414941291825762,spectral,attacks,,0.007049560546875,0.007523179054260254,0.11773800849914551,,44100,-0.8282583853258029,0.001967709887659071
,legacy,nyquist_probe_0.34,-50.35097604764785,,,,,44100,,
,synchronous,nyquist_probe_0.34,-139.78128958278694,,,,,44100,,
,spectral,nyquist_probe_0.34,-96.48005301014817,,,,,44100,,
,legacy,nyquist_probe_0.43,-0.00567300413656126,,,,,44100,,
,synchronous,nyquist_probe_0.43,-150.0,,,,,44100,,
,spectral,nyquist_probe_0.43,-112.62313688233095,,,,,44100,,
2.887797248514515,legacy,zero_crossing,,0.006500244140625,0.006722807884216309,0.12363779544830322,,48000,-1.5928412806861791,
5.780419557331148,synchronous,zero_crossing,,0.006500244140625,0.006824493408203125,0.12733352184295654,,48000,-0.022616151321985307,
11.58020404046324,spectral,zero_crossing,,0.006500244140625,0.006704449653625488,0.12801682949066162,,48000,-0.49098297710839023,
2.8829882583651525,legacy,vibrato,,0.00665283203125,0.006602168083190918,0.12371659278869629,,48000,-0.05663011559486223,
0.0,synchronous,vibrato,,0.00665283203125,0.0065250396728515625,0.1253376007080078,,48000,-0.006006099555933877,
5.780419557331148,spectral,vibrato,,0.00665283203125,0.00665283203125,0.12371826171875,,48000,-0.6307758547130716,
84.4671934696776,legacy,slide,,0.007659912109375,0.006495118141174316,0.12371432781219482,,48000,-1.3535148174075942,
2.8877972485143224,synchronous,slide,,0.007659912109375,0.007957220077514648,0.13449156284332275,,48000,-1.1918820933519996,
5.925292733329144,spectral,slide,,0.007659912109375,0.007049918174743652,0.1662389039993286,,48000,-0.7439644245427601,
170.2424595736041,legacy,hard_jump,,0.006500244140625,0.00969541072845459,0.12369740009307861,,48000,-2.0949335161505274,
3.844111804577902e-13,synchronous,hard_jump,,0.006500244140625,0.007608294486999512,0.15143680572509766,,48000,-1.0175629549470824,
3.844111804577902e-13,spectral,hard_jump,,0.006500244140625,0.007830262184143066,0.16951560974121094,,48000,0.12700875304674597,
57.6477099535062,legacy,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,48000,-2.330271441892067,0.0
1.9220559022889507e-13,synchronous,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,48000,0.11106867836350225,0.0
1.9220559022889507e-13,spectral,consonants,,0.3499755859375,0.3499755859375,0.199981689453125,0.0,48000,-0.47340748572900715,0.0
47.38788607094141,legacy,fast_slide,,0.007659912109375,0.006510734558105469,0.12370049953460693,,48000,-1.248912404396716,
2.8877972485143224,synchronous,fast_slide,,0.007659912109375,0.00795435905456543,0.13449406623840332,,48000,-1.1180573098665327,
14.633003004362557,spectral,fast_slide,,0.007659912109375,0.007455945014953613,0.1716552972793579,,48000,-0.5270201079404897,
2.887797248514515,legacy,breathy,,0.082183837890625,0.06431233882904053,0.15783929824829102,,48000,-1.6151060996998148,
14.624346401279826,synchronous,breathy,,0.082183837890625,0.06845295429229736,0.16936969757080078,,48000,-0.09396386901774373,
11.71955233840481,spectral,breathy,,0.082183837890625,0.065093994140625,0.16424560546875,,48000,-0.7386186945212457,
32.03383999850437,legacy,attacks,,0.006500244140625,0.006880998611450195,0.12371575832366943,,48000,-2.1319933899624077,0.0005286187075819985
1.4414941291828645,synchronous,attacks,,0.006500244140625,0.007262110710144043,0.12594354152679443,,48000,0.12167353156781892,0.0034934953076702505
2.8829882583655366,spectral,attacks,,0.006500244140625,0.0069283246994018555,0.12479257583618164,,48000,-0.5493918676241785,0.003496218243555128
,legacy,nyquist_probe_0.34,-43.87181393827717,,,,,48000,,
,synchronous,nyquist_probe_0.34,-139.78128110247252,,,,,48000,,
,spectral,nyquist_probe_0.34,-96.48004452982391,,,,,48000,,
,legacy,nyquist_probe_0.43,-137.0176526503336,,,,,48000,,
,synchronous,nyquist_probe_0.43,-150.0,,,,,48000,,
,spectral,nyquist_probe_0.43,-112.62312774910231,,,,,48000,,
3.0314665619180388,legacy,zero_crossing,,0.003265380859375,0.0033704042434692383,0.12365710735321045,,96000,-1.591554797397632,
5.780419557331148,synchronous,zero_crossing,,0.003265380859375,0.0034319162368774414,0.1273423433303833,,96000,-0.021261011754931433,
11.58020404046324,spectral,zero_crossing,,0.003265380859375,0.003365755081176758,0.1282256841659546,,96000,-0.48981244487956377,
