rate,f0,vowel,cents,engine,pitch_error_cents,inharmonic_db,envelope_rmse_db,formant_fit_residual_db,rms_gain_db,rms_modulation_db,peak,dc,max_step,F1_hz,F1_error_hz,F1_error_percent,F2_hz,F2_error_hz,F2_error_percent,F3_hz,F3_error_hz,F3_error_percent
48000,90,ah,0,legacy,-0.00417198918954573,-53.09566675375805,2.42983933257497,2.428760903095564,0.0,1.0376271801915542,0.160003662109375,-9.5367431640625e-08,0.017181396484375,730.0,0.0,0.0,1090.0,0.0,0.0,2434.0,-6.0,-0.24590163934425924
48000,90,ah,0,synchronous,-0.00417198918954573,-53.09566675375805,2.42983933257497,2.428760903095564,0.0,1.0376271801915542,0.160003662109375,-9.5367431640625e-08,0.017181396484375,730.0,0.0,0.0,1090.0,0.0,0.0,2434.0,-6.0,-0.24590163934425924
48000,90,ah,0,spectral,-0.00417198918954573,-53.09566675375805,2.42983933257497,2.428760903095564,0.0,1.0376271801915542,0.160003662109375,-9.5367431640625e-08,0.017181396484375,730.0,0.0,0.0,1090.0,0.0,0.0,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-0.1,legacy,-0.0043223543696341805,-53.17663812566839,2.460044881777343,2.4571196845945487,-0.0073123481716071215,1.0900441075551774,0.15996932983398438,-2.46390700340271e-07,0.01717960834503174,728.0,-2.0,-0.2739726027397249,1089.0,-1.0,-0.09174311926605228,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-0.1,synchronous,-0.004205410072040172,-52.838192003190365,2.4509799024733216,2.4483447372148874,-0.008988397294693907,1.9121545620914757,0.15999126434326172,-1.4047366049554613e-06,0.017181396484375,728.0,-2.0,-0.2739726027397249,1089.0,-1.0,-0.09174311926605228,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-0.1,spectral,-0.004270532334681119,-53.1199834331733,2.7952495196165845,2.7815123788416782,-0.011066245476975404,1.0775840384238293,0.1614600419998169,-4.82329891787635e-07,0.01736629009246826,728.0,-2.0,-0.2739726027397249,1086.0,-4.0,-0.3669724770642202,2425.0,-15.0,-0.6147540983606592
48000,90,ah,0.1,legacy,-0.003998832677327609,-53.34193777837592,2.4492254479295084,2.4465681498265437,-0.007810921536584277,1.1503765267726809,0.15997588634490967,9.917964537938436e-08,0.0171816349029541,730.0,0.0,0.0,1087.0,-3.0,-0.27522935779816793,2433.0,-7.0,-0.2868852459016358
48000,90,ah,0.1,synchronous,-0.004009563495850044,-52.95931897065295,2.438314625132451,2.435817768422888,-0.009230479878109002,1.7752731164263993,0.15999579429626465,9.686499834060668e-07,0.0171811580657959,730.0,0.0,0.0,1087.0,-3.0,-0.27522935779816793,2433.0,-7.0,-0.2868852459016358
48000,90,ah,0.1,spectral,-0.004076424677249175,-53.28399979989891,3.281906565006332,3.2607325020109013,-0.011960975307937972,1.1380298838348963,0.16202819347381592,1.86463197072347e-07,0.01737368106842041,727.0,-3.0,-0.4109589041095929,1086.0,-4.0,-0.3669724770642202,2420.0,-20.0,-0.8196721311475419
48000,90,ah,-1,legacy,-0.010221247260778889,-52.98683198224975,2.4396081173329294,2.435409031809591,-0.014427005074086282,1.5745953978880385,0.15996134281158447,9.563511444462671e-06,0.017170310020446777,728.0,-2.0,-0.2739726027397249,1089.0,-1.0,-0.09174311926605228,2431.0,-9.0,-0.36885245901638886
48000,90,ah,-1,synchronous,-0.0035779028254319958,-52.745693435571056,2.4472611013384835,2.4439781932031632,-0.007031812206063106,2.189396593164798,0.16002380847930908,1.5263549155659145e-06,0.017183423042297363,728.0,-2.0,-0.2739726027397249,1089.0,-1.0,-0.09174311926605228,2434.0,-6.0,-0.24590163934425924
48000,90,ah,-1,spectral,-0.0036382862227929786,-53.169687017570936,2.7788501090811577,2.7603589003341513,-0.10682794662965561,1.5459897905751103,0.160003662109375,8.102825118435753e-06,0.017206668853759766,727.0,-3.0,-0.4109589041095929,1083.0,-7.0,-0.6422018348623881,2423.0,-17.0,-0.6967213114754123
48000,90,ah,1,legacy,0.004437084073338069,-53.04422370276252,2.439932026360135,2.4386528185656315,-0.018756418474114068,1.524880748980858,0.15995335578918457,8.202302787039015e-06,0.01718902587890625,730.0,0.0,0.0,1087.0,-3.0,-0.27522935779816793,2434.0,-6.0,-0.24590163934425924
48000,90,ah,1,synchronous,-0.002117382008453628,-52.807008497318165,2.422800437961283,2.4208281752393175,-0.009708293477445229,1.5541439342245256,0.15994620323181152,-4.239057501157125e-06,0.017178893089294434,730.0,0.0,0.0,1087.0,-3.0,-0.27522935779816793,2433.0,-7.0,-0.2868852459016358
48000,90,ah,1,spectral,-0.0021925063113651354,-53.22712816314157,3.0662387419154538,3.04511825001306,-0.11403104170418377,1.4564765333937546,0.160003662109375,8.099873860677084e-06,0.017181396484375,727.0,-3.0,-0.4109589041095929,1083.0,-7.0,-0.6422018348623881,2420.0,-20.0,-0.8196721311475419
48000,90,ah,-5,legacy,-0.1661131335188523,-53.30796631452387,2.495389066891302,2.480675217868247,-0.21035892760021033,2.172371107323943,0.1598743200302124,1.7123172680536905e-06,0.017125368118286133,728.0,-2.0,-0.2739726027397249,1086.0,-4.0,-0.3669724770642202,2425.0,-15.0,-0.6147540983606592
48000,90,ah,-5,synchronous,0.0010123162011944622,-52.960280312465656,2.113217928024596,2.1056803819180767,-0.006382467770417662,1.9644852902042276,0.16009509563446045,2.4932064116001128e-05,0.017192721366882324,727.0,-3.0,-0.4109589041095929,1087.0,-3.0,-0.27522935779816793,2430.0,-10.0,-0.4098360655737654
48000,90,ah,-5,spectral,0.0009854722757600325,-53.40709793574298,2.807259442353001,2.7880665048775923,-0.4862392164375051,2.1961301560771513,0.160003662109375,1.636178129249149e-05,0.017181396484375,724.0,-6.0,-0.8219178082191747,1083.0,-7.0,-0.6422018348623881,2425.0,-15.0,-0.6147540983606592
48000,90,ah,5,legacy,0.16682876239965658,-53.17513111984324,2.4128497852302826,2.4125893754882033,-0.22346622338097105,2.162320382150717,0.15984821319580078,-2.482152647442288e-05,0.017218470573425293,731.0,1.0,0.136986301369868,1090.0,0.0,0.0,2440.0,0.0,0.0
48000,90,ah,5,synchronous,0.0011924597180279367,-52.92645121565529,2.181673712408931,2.1805552430792092,-0.018516559690424376,2.1278668120449855,0.1598677635192871,-1.0350450045532651e-05,0.01717090606689453,730.0,0.0,0.0,1090.0,0.0,0.0,2437.0,-3.0,-0.12295081967212962
48000,90,ah,5,spectral,0.0010945544662577867,-53.3336298286467,2.9949192293262983,2.9846354713114813,-0.5117999925592918,2.147997448747213,0.160003662109375,-2.3111038737826877e-05,0.017181396484375,724.0,-6.0,-0.8219178082191747,1083.0,-7.0,-0.6422018348623881,2430.0,-10.0,-0.4098360655737654
48000,90,ah,-10,legacy,-0.6827552333929117,-53.27531303945059,2.5936856311087926,2.5586447202770013,-0.8329971976269601,2.937003146495994,0.1596757173538208,6.388430380158954e-05,0.01706671714782715,728.0,-2.0,-0.2739726027397249,1080.0,-10.0,-0.917431192660545,2418.0,-22.0,-0.901639344262295
48000,90,ah,-10,synchronous,0.003952872410565135,-52.51292259032323,1.7884826131102158,1.7706756875369236,-0.020271568497582118,2.127771226878325,0.16017639636993408,3.145679417583677e-05,0.01720595359802246,727.0,-3.0,-0.4109589041095929,1086.0,-4.0,-0.3669724770642202,2427.0,-13.0,-0.5327868852459061
48000,90,ah,-10,spectral,0.003986656797893301,-53.26091358464285,2.867815171951308,2.8343681120090616,-0.7888744631100002,2.1400186039257214,0.160003662109375,4.721362143754959e-05,0.017181396484375,724.0,-6.0,-0.8219178082191747,1086.0,-4.0,-0.3669724770642202,2415.0,-25.0,-1.0245901639344246
48000,90,ah,10,legacy,0.6910527136249083,-53.37362318919589,2.3328994382319563,2.3253889759924125,-0.8298222121565356,2.8443937822979133,0.15965259075164795,-1.0339584615495469e-06,0.01725780963897705,737.0,7.0,0.9589041095890316,1093.0,3.0,0.2752293577981568,2447.0,7.0,0.2868852459016358
48000,90,ah,10,synchronous,0.0035713681653887705,-52.95305967435094,2.0206824241414716,2.0189610936559697,-0.01376448459030629,2.1398082764482718,0.1596987247467041,6.466346896357006e-05,0.01715993881225586,730.0,0.0,0.0,1090.0,0.0,0.0,2436.0,-4.0,-0.16393442622950616
48000,90,ah,10,spectral,0.003459246504795724,-53.32492679332784,2.960904419792381,2.9469052608139332,-0.8086029906513013,2.053397339946184,0.160003662109375,-3.8236752152442935e-06,0.017181396484375,727.0,-3.0,-0.4109589041095929,1090.0,0.0,0.0,2423.0,-17.0,-0.6967213114754123
48000,90,ah,-25,legacy,-4.396277380173057,-50.587282086761824,3.799728788994837,3.6617034873589445,-3.4312006934797443,5.348298678211888,0.15955495834350586,-2.8595274521244898e-05,0.016884565353393555,746.0,16.0,2.191780821917799,1047.0,-43.0,-3.94495412844037,2383.0,-57.0,-2.336065573770496
48000,90,ah,-25,synchronous,0.003939700411971864,-52.731176242001695,2.027705716306165,2.012941292190997,-0.11416738951656084,2.2670050996729842,0.16046273708343506,-2.9787884818183052e-05,0.017258405685424805,724.0,-6.0,-0.8219178082191747,1083.0,-7.0,-0.6422018348623881,2431.0,-9.0,-0.36885245901638886
